Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z,0.331121919
119.25,0,10.034364,10,-0.60625,5,10.029929,10,10.010558,10,30.793537,5,10.005399,10,9.999955,10,0.161785,0.2488,0.238165,0.017725,-0.325181,-0.042219,0.085212401
89.22,0,10.00495,10,-0.600837,10,10.039213,10,9.982029,10,30.763866,5,5.088869,5,9.983232,10,0.168875,0.254924,0.212383,0.018692,-0.290375,-0.031583,0.288913524
98.95,0,9.990943,10,-0.587305,5,5.081498,5,10.035917,10,30.860298,10,5.081882,5,10.04176,10,0.165974,0.251701,0.213994,0.017403,-0.291341,-0.035773,0.755761442
23.52,0,5.105415,5,-0.613016,10,10.231085,10,10.051767,10,30.959202,5,5.035302,5,5.075225,5,0.201425,0.298754,0.123433,0.023849,-0.182733,-0.028038,0.558713904
12.03,0,5.000365,5,-0.565653,10,5.044362,5,5.043316,5,31.203989,5,4.958445,5,5.044567,5,0.194335,0.298754,0.148249,0.022237,-0.21335,-0.034162,0.616584846
113.91,0,4.997564,5,-0.59813,5,4.95771,5,9.982029,10,30.885024,5,9.968134,10,9.977658,10,0.164685,0.25299,0.244611,0.017725,-0.331949,-0.055754,0.873941449
56.89,0,10.074983,10,-0.59813,10,9.980414,10,9.988369,10,30.331161,5,9.996083,10,4.902428,5,0.180799,0.274583,0.173709,0.019981,-0.250412,-0.036418,0.174984249
120.55,0,9.906903,10,-0.607603,10,9.91852,10,9.959839,10,30.761394,5,9.865658,10,9.905195,10,0.160818,0.247834,0.23881,0.016759,-0.327437,-0.04383,0.782910501
89.57,0,4.986358,5,-0.585951,5,4.960805,5,5.017956,5,31.285585,10,5.018999,5,9.96651,10,0.173709,0.262336,0.217539,0.019337,-0.295209,-0.044475,0.502512643
8.51,0,2.028158,2,-0.507464,2,2.027028,2,2.031907,2,31.201517,2,2.007599,2,2.031762,2,0.198525,0.307455,0.12859,0.023204,-0.184344,-0.050276,0.325486575
